text,source,source_lan,source_label,google_trans_en,source_dataset
男人鞭打他的马驹，因为它从围栏里逃了出来。,vignette,en,care,Man whips his foal because it escapes from the pen.,BM_MFV
女孩在树林里用弹丸枪不断射击鹅。,vignette,en,care,Girl keeps shooting geese with a pellet gun in the woods.,BM_MFV
男孩在他的社区设置了一系列陷阱来杀死流浪猫。,vignette,en,care,A boy sets a series of traps in his neighborhood to kill stray cats.,BM_MFV
男孩在另一个学生的椅子上放了一颗竖起的图钉。,vignette,en,care,The boy placed an upright thumbtack on another student's chair.,BM_MFV
一位老师因为学生在课堂上睡觉而用尺子打他的手。,vignette,en,care,A teacher hit a student on the hand with a ruler for sleeping in class.,BM_MFV
女人因为孩子成绩不好而用铲子打他。,vignette,en,care,A woman hits her child with a shovel because he gets bad grades.,BM_MFV
学生在补考中抄袭同学的答卷。,vignette,en,fair,A student plagiarized a classmate’s answer sheet during a make-up exam.,BM_MFV
一名跑者在马拉松赛中为了获胜而抄近道。,vignette,en,fair,A runner takes a shortcut in a marathon to win.,BM_MFV
租户贿赂房东，好让他第一个重新粉刷自己的公寓。,vignette,en,fair,Tenant bribes landlord to be the first to repaint his apartment.,BM_MFV
一名足球运动员假装被对手严重犯规。,vignette,en,fair,A football player pretends to be seriously fouled by an opponent.,BM_MFV
有人在一群陌生人中玩纸牌游戏时作弊。,vignette,en,fair,Someone cheated in a card game played among a group of strangers.,BM_MFV
一名裁判故意做出错误判罚，帮助他喜欢的球队获胜。,vignette,en,fair,A referee intentionally makes a wrong call to help his favorite team win.,BM_MFV
一名法官审理一起刑事案件，尽管他与被告是朋友。,vignette,en,fair,A judge hears a criminal case even though he is friends with the defendant.,BM_MFV
一名员工谎报她本周的工作时数。,vignette,en,fair,An employee lied about the number of hours she worked during the week.,BM_MFV
男孩因为他的朋友是员工，所以插队。,vignette,en,fair,The boy jumped in line because his friend was an employee.,BM_MFV
女人谎报她在工作中休了多少天假。,vignette,en,fair,Woman lied about how many days off she took at work.,BM_MFV
教授仅仅因为不喜欢一名学生而给他打了低分。,vignette,en,fair,A professor gives a low grade to a student simply because he dislikes him.,BM_MFV
一位政客使用联邦税款来扩建他的房屋。,vignette,en,fair,A politician used federal tax dollars to expand his home.,BM_MFV
男人告诉他的未婚妻，她必须改投他的政党。,vignette,en,auth,A man tells his fiancee that she must switch to his political party.,BM_MFV
父亲要求他的儿子成为一名商用飞机飞行员，就像他一样。,vignette,en,auth,"The father asked his son to become a commercial airplane pilot, just like him.",BM_MFV
男人告诉他的女朋友，她必须皈依他的宗教。,vignette,en,auth,Man tells his girlfriend that she must convert to his religion.,BM_MFV
一位母亲告诉她的儿子，她会为他选择所有的朋友。,vignette,en,auth,A mother tells her son that she will choose all his friends for him.,BM_MFV
男人禁止他的妻子穿未经他批准的衣服。,vignette,en,auth,A man forbids his wife from wearing clothes that have not been approved by him.,BM_MFV
一位老板强迫员工从她家的杂货店购买商品。,vignette,en,auth,A boss forced employees to buy items from her family's grocery store.,BM_MFV
女人逼迫她的女儿成为著名的夜间新闻主播。,vignette,en,auth,Woman forces her daughter to become famous nightly news anchor.,BM_MFV
在电视上，一位公共领导人试图禁止穿连帽运动衫。,vignette,en,auth,"On television, a public leader tried to ban hooded sweatshirts.",BM_MFV
一位母亲强迫她的女儿在大学里选修医学预科。,vignette,en,auth,A mother forced her daughter to take premed in college.,BM_MFV
一位父亲要求他的儿子接手家族餐馆生意。,vignette,en,auth,A father asks his son to take over the family restaurant business.,BM_MFV
一位牧师禁止他的教徒在教堂里穿亮色衣服。,vignette,en,auth,A pastor banned his congregants from wearing bright colors in church.,BM_MFV
女孩在她的宵禁时间后偷开车，忽视了她父亲的命令。,vignette,en,auth,The girl ignored her father's orders by driving past her curfew time.,BM_MFV
女孩在老师解释新概念时不断打断他。,vignette,en,auth,The girl kept interrupting the teacher when he was explaining new concepts.,BM_MFV
实习生无视要求，穿得不够正式，头发也没梳。,vignette,en,auth,"The intern ignored the request, dressed informally and did not comb her hair.",BM_MFV
少女无视父母的严格宵禁，很晚才回家。,vignette,en,auth,The girl ignored her parents' strict curfew and came home late.,BM_MFV
员工试图在其他人面前破坏她老板的所有想法。,vignette,en,auth,Employee tries to sabotage all of her boss's ideas in front of others.,BM_MFV
运动员在季后赛中公开对教练大喊大叫。,vignette,en,auth,Athletes publicly yelled at coaches during playoff games.,BM_MFV
男人在牧师布道时偷偷用手机看体育比赛。,vignette,en,auth,Man secretly watches sports games on his cell phone while pastor is preaching.,BM_MFV
男孩在父亲谈论他的军旅生涯时调高了电视音量。,vignette,en,auth,The boy turned up the volume on the television as his father talked about his military career.,BM_MFV
助教在课堂上顶撞老师。,vignette,en,auth,The teaching assistant contradicts the teacher in class.,BM_MFV
工作人员大声打断市长对公众的讲话。,vignette,en,auth,Staff members loudly interrupted the mayor's remarks to the public.,BM_MFV
一群女人在教堂布道时进行长时间的大声交谈。,vignette,en,auth,"A group of women have a long, loud conversation during a church sermon.",BM_MFV
男人在老板质问他的工作时转身走开。,vignette,en,auth,The man turns away when his boss questions him about his work.,BM_MFV
学生在下午课上说她的教授是个傻瓜。,vignette,en,auth,A student said in afternoon class that her professor was a fool.,BM_MFV
明星运动员在比赛中无视教练让她下场休息的命令。,vignette,en,auth,A star athlete ignores her coach's orders to take a break during a game.,BM_MFV
员工在竞争对手面前开玩笑说公司去年业绩不佳。,vignette,en,loya,Employees joked in front of competitors about the company's poor performance last year.,BM_MFV
一位教练与刚刚赢得比赛的对方球队的球员一起庆祝。,vignette,en,loya,A coach celebrates with players from an opposing team that just won a game.,BM_MFV
前美国将军公开表示他永远不会购买任何美国商品。,vignette,en,loya,The former US general has publicly stated that he will never buy anything American.,BM_MFV
市长说邻镇是更好的城市。,vignette,en,loya,The mayor says the neighboring town is a better city.,BM_MFV
美国大使在英国拿美国人的愚蠢开玩笑。,vignette,en,loya,The US ambassador pokes fun at Americans' stupidity in Britain.,BM_MFV
男人离开家族企业去为他们的主要竞争对手工作。,vignette,en,loya,Men leave family businesses to work for their main competitors.,BM_MFV
一位老师公开表示希望另一所学校赢得数学竞赛。,vignette,en,loya,A teacher has spoken out about wanting another school to win a math competition.,BM_MFV
啦啦队队长在返校节上嘘自己高中的队伍。,vignette,en,loya,A cheerleader boos her high school team at homecoming.,BM_MFV
班长在电视上说她的对手大学是更好的学校。,vignette,en,loya,The class president said on TV that her rival university was the better school.,BM_MFV
好莱坞明星赞同外国独裁者对美国的谴责。,vignette,en,loya,Hollywood stars echo foreign dictators' denunciations of the United States.,BM_MFV
一位大学校长在集会上唱对手学校的战歌。,vignette,en,loya,A college president sang a rival school's fight song at a rally.,BM_MFV
男人偷偷投票反对他的妻子在当地选美比赛中获胜。,vignette,en,loya,Man secretly votes against his wife's win in a local beauty pageant.,BM_MFV
美国人在外国人面前说美国是世界上的邪恶力量。,vignette,en,loya,Americans say in front of foreigners that the United States is an evil force in the world.,BM_MFV
教练的妻子为丈夫的对手球队赞助了一次烘焙义卖。,vignette,en,loya,The coach's wife sponsors a bake sale for her husband's rival team.,BM_MFV
一位前国务卿公开放弃了他的美国国籍。,vignette,en,loya,A former secretary of state has publicly renounced his U.S. citizenship.,BM_MFV
一名美国游泳运动员为中国对手打败他的队友赢得金牌而欢呼。,vignette,en,loya,An American swimmer cheered as his Chinese rival beat his teammates to win the gold medal.,BM_MFV
男人在做晚餐前与冷冻的鸡肉进行性行为。,vignette,en,sanc,Man has sex with frozen chicken before making dinner.,BM_MFV
醉酒的老人提出为酒吧里任何人提供口交服务。,vignette,en,sanc,Drunk old man offers to provide oral sex to anyone in the bar.,BM_MFV
男人在酒吧里用手机观看人与动物性交的视频。,vignette,en,sanc,Man watches video of man having sex with animal on mobile phone in bar.,BM_MFV
一位女士与一位刚刚去世的亲人有着亲密的关系。,vignette,en,sanc,A woman had a close relationship with a loved one who had recently died.,BM_MFV
同性恋者在同性恋酒吧里向任何给他买酒的人提供性服务。,vignette,en,sanc,A gay man offers sex to anyone who buys him a drink in a gay bar.,BM_MFV
停尸房的员工把他的意大利香肠披萨放在尸体上吃。,vignette,en,sanc,The morgue employee put his pepperoni pizza on the body and ate it.,BM_MFV
这是一个关于偏远部落食用逝者肉体的故事。,vignette,en,sanc,This is a story about a remote tribe that eats the flesh of their dead.,BM_MFV
男人在垃圾堆里寻找女性丢弃的内衣。,vignette,en,sanc,Men search for women's discarded underwear in trash heaps.,BM_MFV
两个堂兄妹举行了盛大的婚礼。,vignette,en,sanc,Two cousins ​​held a grand wedding.,BM_MFV
单身男人订购了看起来像他的秘书的充气娃娃。,vignette,en,sanc,Single man orders blow-up doll that looks like his secretary.,BM_MFV
爷爷奶奶经常打电话询问自己的情况,scenario,cz,care,Grandparents often call to check on themselves,BM_CS
爱心人士经常帮助困难的老人,scenario,cz,care,Caring people often help the elderly in need,BM_CS
私家车司机都很礼让行人,scenario,cz,care,Private car drivers are very courteous to pedestrians,BM_CS
一次出差，丈夫打电话要我在外面照顾好自己，家里一切放心，多注意休息。,scenario,cz,care,"Once on a business trip, my husband called me and asked me to take care of myself outside. Don't worry about everything at home and pay more attention to rest.",BM_CS
我妈妈经常打电话问我吃完饭了没,scenario,cz,care,My mother often calls me to ask if I have finished eating.,BM_CS
我朋友很喜欢给我送礼物逗我开心,scenario,cz,care,My friends like to give me gifts to make me happy,BM_CS
爸爸妈妈把我们抚养长大，此时此刻作为儿女的我们一定要关心和照顾她们,scenario,cz,care,"Mom and Dad raised us up. As children, we must care and take care of them at this moment.",BM_CS
孤身在外，父母经常打电话关心我的日常生活，细致到方方面面，虽然本人年龄已经不小了，但在父母眼中依然是小孩子。,scenario,cz,care,"When I was alone, my parents often called me to care about my daily life, and they paid attention to every aspect. Although I am no longer young, I am still a child in the eyes of my parents.",BM_CS
在我手指被划伤时，舍友积极的去主动寻找创可贴，叮嘱我下次一定要小心,scenario,cz,care,"When my finger was scratched, my roommate actively looked for a band-aid and told me to be careful next time.",BM_CS
路上不小心摔跤，路人关心自己要注意安全,scenario,cz,care,"I accidentally fell down on the road, passersby should pay attention to their own safety",BM_CS
老师关爱学生，鼓励学生,scenario,cz,care,Teachers care about students and encourage them,BM_CS
在校生活中，因为想家感到很难过，眼泪止不住流出，老师十分关爱我，经常安慰我,scenario,cz,care,"In school life, I felt very sad because I missed home and couldn’t stop crying. The teacher cared for me very much and often comforted me.",BM_CS
新闻经常报道一些不道德的人恶意残害小动物,scenario,cz,care,The news often reports that some unscrupulous people maliciously kill small animals,BM_CS
老师常教育我们，要关心爱护身边的一草一木，要关爱身边的人。,scenario,cz,care,Teachers often teach us to care for the plants and trees around us and the people around us.,BM_CS
父亲辛苦打工为孩子购买电脑等大学用品,scenario,cz,care,Father works hard to buy computers and other college supplies for his children,BM_CS
母亲早早起床为父亲做早餐,scenario,cz,care,Mother gets up early to make breakfast for father,BM_CS
父亲经常给小孩子讲故事,scenario,cz,care,Father often tells stories to children,BM_CS
邻居孩子经常偷钱打游戏，还敲诈同学,scenario,cz,care,Neighbor kids often steal money to play games and blackmail classmates,BM_CS
隔壁宿舍的孩子经常旷课，和街头混混抢劫,scenario,cz,care,The kids in the dormitory next door often skip school and rob with street gangsters.,BM_CS
关爱老人 我那次坐公交车，看到了一群姐姐。过了一会儿，进来了一个奶奶，姐姐把自己的位子让给了那个奶奶,scenario,cz,care,"Caring for the Elderly When I took the bus that time, I saw a group of sisters. After a while, a grandma came in. My sister gave up her seat to that grandma.",BM_CS
项羽获胜后活埋了数万秦军,scenario,cz,care,"After Xiang Yu won, he buried tens of thousands of Qin soldiers alive.",BM_CS
女朋友因为我的病情离开了我,scenario,cz,care,My girlfriend left me because of my illness,BM_CS
小偷进了家门偷走了东西,scenario,cz,care,A thief broke into the house and stole something,BM_CS
关爱：我经常给爷爷打电话，提醒注意身体，少抽烟喝酒,scenario,cz,care,Caring: I often call my grandpa to remind him to pay attention to his health and stop smoking and drinking.,BM_CS
老师天天嘱咐孩子们早睡早起，少看电视、好好学习,scenario,cz,care,"The teacher tells the children to go to bed early and get up early every day, watch less TV and study hard.",BM_CS
九九重阳节，县政府组织慰问全县老年人。,scenario,cz,care,"On the Double Ninth Festival, the county government organized condolences to the elderly in the county.",BM_CS
疫情期间女朋友告诉我要做好防护保护好自己：四川地震我向四川的朋友表示慰问：在学校时父母定时给我打电话关心我有没有吃好饭,scenario,cz,care,"During the epidemic, my girlfriend told me to take precautions and protect myself: Sichuan earthquake. I expressed condolences to my friends in Sichuan: When I was at school, my parents called me regularly to care about whether I had good food.",BM_CS
搀扶行动不便的老人过马路,scenario,cz,care,Help an elderly person with limited mobility to cross the road,BM_CS
帮助农民销售滞销农产品,scenario,cz,care,Help farmers sell unsalable agricultural products,BM_CS
捐赠边远山区儿童书籍衣物。,scenario,cz,care,Donate books and clothing to children in remote mountainous areas.,BM_CS
老师说这道题你听懂了吗？不懂我再给你讲,scenario,cz,care,"Did the teacher understand this question? If you don’t understand, I’ll tell you again",BM_CS
他恶狠狠地对我说滚出去,scenario,cz,care,He told me viciously to get out,BM_CS
他给我1000元让我买学习用品,scenario,cz,care,"He gave me 1,000 yuan to buy school supplies",BM_CS
她经常骂我，她把我的东西扔出门外,scenario,cz,care,She often scolds me and throws my things out the door,BM_CS
关爱是一个眼神，给人无声的祝福。关爱是一缕春风，给人身心的舒畅。关爱是一句问候，给人春天的温暖。关爱是一场春雨，给人心田的滋润。关爱是一个微笑，给人亲切的关怀。,scenario,cz,care,"Caring is a look that gives people silent blessing. Caring is a ray of spring breeze, giving people physical and mental comfort. Care is a greeting that gives people the warmth of spring. Caring is a spring rain that nourishes the heart. Caring is a smile that gives people friendly care.",BM_CS
父母每月打电话询问工作学习情况，我感到非常亲切,scenario,cz,care,"My parents call me every month to ask about work and study, and I feel very cordial.",BM_CS
上级领导对下级员工的身体健康表示担忧,scenario,cz,care,Superior leaders expressed concerns about the physical health of subordinate employees,BM_CS
父母在天冷的时候询问我有没有增添衣物,scenario,cz,care,My parents asked me if I had any extra clothes when it was cold,BM_CS
每当孩子要上学时，我会经常问孩子的穿的暖不暖,scenario,cz,care,"Whenever my children go to school, I often ask them if they are wearing warm clothes.",BM_CS
老师给成绩不好的同学补课,scenario,cz,care,The teacher gives extra lessons to students with poor grades,BM_CS
在单位里给生活困难的同事捐款,scenario,cz,care,Donate to colleagues who are in difficulty at work,BM_CS
在公司里被冤枉并辞退,scenario,cz,care,Being wrongly accused and fired from the company,BM_CS
老妈会经常打电话给我,scenario,cz,care,Mom will call me often,BM_CS
我会经常给家里面的长辈打电话,scenario,cz,care,I will often call my elders at home,BM_CS
不会写作业被老师打了,scenario,cz,care,I couldn't do my homework and was beaten by the teacher.,BM_CS
父母从小关心我的学习,scenario,cz,care,My parents have been concerned about my studies since I was a child.,BM_CS
老师在学校很关心我的饮食,scenario,cz,care,The teacher is very concerned about my diet at school,BM_CS
小时候邻居家孩子一直会欺负我,scenario,cz,care,"When I was a kid, the neighbor kids would always bully me.",BM_CS
公交车给弱势群体让座,scenario,cz,care,Give up your seat on the bus to vulnerable groups,BM_CS
父母常打电话关心我的境况，叮嘱我照顾好自己,scenario,cz,care,My parents often call me to care about my situation and tell me to take care of myself.,BM_CS
日本曾经对中国人的侵略和侮辱,scenario,cz,care,Japan once invaded and insulted the Chinese,BM_CS
母亲每周都会给我打一个电话，询问我的健康情况，并让我要注意身体。,scenario,cz,care,My mother calls me every week to check on my health and tell me to take care of myself.,BM_CS
父母平时的唠叨是对我们的关心,scenario,cz,care,Parents’ usual nagging is their concern for us,BM_CS
教师节学生送上精美的礼品是对老师的关爱,scenario,cz,care,"On Teacher's Day, students give exquisite gifts to show their love for their teachers.",BM_CS
社工看望留守儿童表对他们的关爱达。,scenario,cz,care,Social workers visit left-behind children to express their care for them.,BM_CS
爸妈时常关心我的身体健康，丈夫经常送我玫瑰，朋友经常和我一起吃饭,scenario,cz,care,"My parents always care about my health, my husband often gives me roses, and my friends often have dinner with me.",BM_CS
学校领导关心学生的学习情况,scenario,cz,care,School leaders care about students’ learning situation,BM_CS
夫妻之间每天做好早餐，互问早安,scenario,cz,care,Husband and wife make breakfast every day and say good morning to each other,BM_CS
朋友之间经常电话联系，询问身体健康,scenario,cz,care,Friends often call each other to inquire about their health,BM_CS
每天上学的时候，妈妈都会嘱咐我好好照顾自己，记得添衣保暖,scenario,cz,care,"Every day when I go to school, my mother will tell me to take good care of myself and remember to put on clothes to keep warm.",BM_CS
回到家中，妈妈都会给我做好吃的,scenario,cz,care,"When I get home, my mother will make delicious food for me",BM_CS
外婆的问候让我感受到温暖,scenario,cz,care,Grandma’s greetings make me feel warm,BM_CS
海天酱油添加致癌的添加剂，并且在出口日本的产品中没有这些添加剂，作为一个中国品牌，严重伤害了我,scenario,cz,care,"Haitian soy sauce contains carcinogenic additives, and these additives are not included in the products exported to Japan. As a Chinese brand, this seriously hurts me.",BM_CS
分手后她马上找了别人，伤害了我的感情,scenario,cz,care,"After we broke up, she immediately found someone else and hurt my feelings.",BM_CS
你伤害了我，你却一笑而过,scenario,cz,care,"You hurt me, but you laughed it off",BM_CS
老师常常很早就到教室，督促同学们好好学习，关心同学的学习成绩。妈妈经常会问在外面的孩子是否受到委屈,scenario,cz,care,Teachers often come to the classroom very early to urge students to study hard and care about their students' academic performance. Mothers often ask children outside if they have been wronged,BM_CS
日寇残杀三十万中国同胞的恶行，让人无法原谅。,scenario,cz,care,"The Japanese aggressors massacred 300,000 Chinese compatriots, which is unforgivable.",BM_CS
天冷了，父母发信息告诉我要注意气温变化，注意增加衣服,scenario,cz,care,"It's getting cold, and my parents sent me messages telling me to pay attention to changes in temperature and wear more clothes.",BM_CS
南京大屠杀，是无法抹灭的伤害,scenario,cz,care,The Nanjing Massacre is an indelible damage,BM_CS
老年人对孙子孙女的疼爱。,scenario,cz,care,The love of the elderly for their grandchildren.,BM_CS
母亲电话追问我有没有吃饭,scenario,cz,care,My mother called me to ask if I had eaten.,BM_CS
天气变冷，母亲电话叮嘱我多穿衣服,scenario,cz,care,"The weather is getting colder, and my mother calls me to tell me to wear more clothes.",BM_CS
领导经常宽容我的工作失误,scenario,cz,care,My boss often tolerates my work mistakes,BM_CS
我关心女儿的衣食起居,scenario,cz,care,"I care about my daughter’s food, clothing and daily life",BM_CS
西方国家工会为劳动者争取利益,scenario,cz,care,Trade unions in Western countries fight for the interests of workers,BM_CS
各省市的机关事务局为公务员谋取福利。,scenario,cz,care,The government affairs bureaus of various provinces and cities seek benefits for civil servants.,BM_CS
关爱农村留守的老人和儿童，关爱流浪小动物,scenario,cz,care,"Caring for the elderly and children left behind in rural areas, and caring for stray animals",BM_CS
对流浪小动物进行残杀,scenario,cz,care,Kill stray animals,BM_CS
父亲经常问我身上的钱够花不,scenario,cz,care,My father often asks me if I have enough money to spend.,BM_CS
母亲经常做我爱吃的饭,scenario,cz,care,My mother often cooks my favorite meals,BM_CS
父母经常关心我是否吃的好，是否在学习上遇到困难，是否有乱花钱。,scenario,cz,care,"My parents often care about whether I eat well, whether I encounter difficulties in study, and whether I spend money recklessly.",BM_CS
母亲问我最近身体好不好,scenario,cz,care,My mother asked me if I was feeling well lately.,BM_CS
妈妈提醒我添加衣服，当温度降低时,scenario,cz,care,Mom reminds me to add clothes when the temperature drops,BM_CS
犯罪分子杀害无辜百姓,scenario,cz,care,Criminals kill innocent people,BM_CS
没关系，下次做好就可以了,scenario,cz,care,"It's okay, just do it better next time",BM_CS
下雨一定要带伞，忘了就打电话给我,scenario,cz,care,"Be sure to bring an umbrella when it rains. If you forget, call me.",BM_CS
累了吗？那我给你讲个故事放松一下,scenario,cz,care,Are you tired? Then let me tell you a story to relax,BM_CS
身体不好时候，姐姐炖鸡给我吃,scenario,cz,care,"When I'm not feeling well, my sister cooks chicken for me to eat.",BM_CS
过去了十年 朋友来兑现当初的承诺,scenario,cz,care,Ten years have passed and my friend has come to fulfill his original promise.,BM_CS
爱人出轨 对待自己的冷漠 。,scenario,cz,care,Your lover cheats on you and treats yourself with indifference.,BM_CS
疫情防控期间，志愿者为医护工作者服务,scenario,cz,care,"During epidemic prevention and control, volunteers serve medical workers",BM_CS
地震后，全国都参与到震区的灾后重建,scenario,cz,care,"After the earthquake, the whole country participated in the post-disaster reconstruction of the earthquake area.",BM_CS
点外卖，外卖员配送迟到给差评,scenario,cz,care,"Ordered takeout, the delivery guy was late and gave me a bad review",BM_CS
在工作当中，同事拒绝消息共享，导致自己多走弯路或者造成失误,scenario,cz,care,"At work, colleagues refuse to share messages, causing me to take more detours or make mistakes.",BM_CS
在医院看病的过程中，诊疗医生态度极差，很不耐烦，看病心情不谈担心忐忑而且还会有种被怼感觉,scenario,cz,care,"During the treatment at the hospital, the doctor's attitude was extremely poor and impatient. He was not only worried and anxious but also felt like he was being attacked.",BM_CS
生活中，被亲近的人欺骗或背叛。,scenario,cz,care,"In life, you are deceived or betrayed by someone close to you.",BM_CS
父母给出远门的我整理行李箱和准备食物,scenario,cz,care,My parents helped me pack my suitcase and prepare food while traveling far away,BM_CS
老师关心学生的身体状态,scenario,cz,care,Teachers care about students' physical condition,BM_CS
爷爷奶奶给孙子缝纫冬天的帽子,scenario,cz,care,Grandparents sewing winter hats for grandson,BM_CS
爸爸和妈妈经常叮嘱我和丈夫要互敬互爱，彼此关心对方。,scenario,cz,care,My father and mother often tell my husband and I to respect and love each other and care about each other.,BM_CS
妈妈住院，很多亲朋好友打电话关心手术进展情况,scenario,cz,care,"My mother was hospitalized, and many relatives and friends called to care about the progress of the operation.",BM_CS
我出差在外，父母基本上一天打三个电话，关心我的情况,scenario,cz,care,"I was on a business trip, and my parents basically called three times a day to check on me.",BM_CS
在餐厅吃饭，店长和实习员工在争论工作,scenario,cz,care,"Eating in a restaurant, the store manager and the intern employee were arguing about work",BM_CS
父母时刻关注我的动态，经常通过视频关心我,scenario,cz,care,My parents always pay attention to my activities and often care about me through videos,BM_CS
同学无意的一句话可能会让我难受很久,scenario,cz,care,A classmate’s unintentional words may make me feel uncomfortable for a long time,BM_CS
生病时，爱人贴心的照顾,scenario,cz,care,"When you are sick, your lover takes care of you",BM_CS
孕妇在公交车上得到让座等相应的关爱,scenario,cz,care,Pregnant women receive corresponding care such as giving up their seats on the bus,BM_CS
过马路时候对老年人的让行。唐山烧烤打人时间，被害者身心受到极大伤害,scenario,cz,care,"Give way to the elderly when crossing the road. Tangshan BBQ beating time, the victim suffered great physical and mental harm",BM_CS
父母离婚对孩子的成长伤害极大,scenario,cz,care,Divorce of parents is extremely harmful to children's growth,BM_CS
疫情导致学校延迟开学，对学生的学业是一种影响。,scenario,cz,care,"The epidemic has led to the delay in the opening of schools, which has an impact on students' academic performance.",BM_CS
封孔期间，街道关爱孤寡老人,scenario,cz,care,"During the hole closure period, the streets cared for the lonely elderly",BM_CS
街边的饭店关爱环卫工人送暖汤,scenario,cz,care,The restaurant on the street cares about the sanitation workers and gives them warm soup,BM_CS
小区居民关爱流浪动物,scenario,cz,care,Community residents care for stray animals,BM_CS
有的人恶意伤害流浪动物,scenario,cz,care,Some people maliciously harm stray animals,BM_CS
邻居之间的互相帮助，同学间的互相联系，同事间的互相帮助,scenario,cz,care,"Neighbors help each other, classmates help each other, colleagues help each other",BM_CS
虽然我已52岁了。但父亲母亲还时刻提醒我的健康情况。随时注意叫我添加衣物。平时看到关于健康养生的文章，第一时间告诉我。,scenario,cz,care,"Although I am 52 years old. But my parents always remind me of my health. Please ask me to add clothes at any time. Whenever you see articles about health and wellness, tell me immediately.",BM_CS
亲近的人询问我身体状况,scenario,cz,care,People close to me ask about my health,BM_CS
早上给孩子热好饭，带好牛奶，嘱咐多喝水 这也是关爱,scenario,cz,care,"In the morning, warm up the food for the child, bring milk, and ask him to drink plenty of water. This is also caring.",BM_CS
孩子写不好作业，骂他就是伤害,scenario,cz,care,"If a child doesn't do his homework well, scolding him is hurtful",BM_CS
过年过节打电话给外婆,scenario,cz,care,Call grandma during Chinese New Year and holidays,BM_CS
小孩奶声奶气地说我爱你,scenario,cz,care,The child said I love you in a milky voice,BM_CS
下雨送伞，送牛奶，买棉衣,scenario,cz,care,"Send umbrellas, milk, and cotton-padded clothes when it rains",BM_CS
疫情期间，社区志愿者为隔离者免费上门送菜,scenario,cz,care,"During the epidemic, community volunteers delivered food to the homes of quarantined persons for free.",BM_CS
司机撞伤路人开车扬长而去,scenario,cz,care,Driver hit and injured passerby and drove away,BM_CS
老师经常询问我的学习情况，以及我的身体状况，让我保持一个良好的心态去学习,scenario,cz,care,"Teachers often ask about my study situation and my physical condition, so that I can maintain a good attitude to study.",BM_CS
丈夫关心妻子最近怎么样，有没有什么不顺心的事,scenario,cz,care,The husband is concerned about how his wife is doing recently and whether there is anything unpleasant.,BM_CS
老板询问员工最近工作累不累，需不需要休息,scenario,cz,care,The boss asks the employee if he or she is tired from work recently and if he or she needs a break.,BM_CS
